model_name,epoch,train_loss,val_loss,g_loss,d_loss
rnn,1,0.33814578130841255,0.3081422299146652,,
rnn,2,0.29861024767160416,0.27179400622844696,,
rnn,3,0.2625018358230591,0.24173015356063843,,
rnn,4,0.23900221288204193,0.23360929638147354,,
rnn,5,0.23438990861177444,0.23049622774124146,,
rnn,6,0.22966181859374046,0.2254643812775612,,
rnn,7,0.22532867640256882,0.22105932980775833,,
rnn,8,0.2204937320202589,0.2168971672654152,,
rnn,9,0.21622471697628498,0.2130439579486847,,
rnn,10,0.2130648586899042,0.2121192216873169,,
rnn,11,0.2125401273369789,0.2117474600672722,,
rnn,12,0.2122418787330389,0.21087566018104553,,
rnn,13,0.21165377274155617,0.2103150337934494,,
rnn,14,0.2109891138970852,0.20974520593881607,,
rnn,15,0.2107961867004633,0.2091313675045967,,
rnn,16,0.21065789833664894,0.20854145288467407,,
rnn,17,0.20996353588998318,0.20787598937749863,,
rnn,18,0.2091578170657158,0.2072070837020874,,
rnn,19,0.20843367651104927,0.20660187304019928,,
rnn,20,0.20812378451228142,0.20619305968284607,,
rnn,21,0.2079756874591112,0.20596479624509811,,
rnn,22,0.20827198028564453,0.20587342977523804,,
rnn,23,0.20798241533339024,0.20578473806381226,,
rnn,24,0.20761340111494064,0.2057081013917923,,
rnn,25,0.2076389640569687,0.20565609633922577,,
rnn,26,0.2075379192829132,0.20559697598218918,,
rnn,27,0.207876805216074,0.20554351061582565,,
rnn,28,0.2076624184846878,0.20550964772701263,,
rnn,29,0.20776974223554134,0.20546917617321014,,
rnn,30,0.2075214684009552,0.20543812960386276,,
rnn,31,0.20723756402730942,0.20537879317998886,,
rnn,32,0.20745744742453098,0.2053155079483986,,
rnn,33,0.20779958553612232,0.20522453635931015,,
rnn,34,0.2076373565942049,0.20518041402101517,,
rnn,35,0.20748517662286758,0.2051578015089035,,
rnn,36,0.20758188888430595,0.20507199317216873,,
rnn,37,0.2075644452124834,0.20502278208732605,,
rnn,38,0.2072808500379324,0.20506033301353455,,
rnn,39,0.20742549933493137,0.20495348423719406,,
rnn,40,0.2070872951298952,0.20497101545333862,,
rnn,41,0.20764938928186893,0.20488865673542023,,
rnn,42,0.2071844395250082,0.20491118729114532,,
rnn,43,0.2068394124507904,0.20485135167837143,,
rnn,44,0.20729243755340576,0.20477092266082764,,
rnn,45,0.20720420964062214,0.20475496351718903,,
rnn,46,0.20700924843549728,0.20470256358385086,,
rnn,47,0.20703274197876453,0.20464100688695908,,
rnn,48,0.20714041963219643,0.20461580902338028,,
rnn,49,0.20668496936559677,0.20453676581382751,,
rnn,50,0.20719431899487972,0.20454127341508865,,
rnn,51,0.20702093467116356,0.20445667207241058,,
rnn,52,0.2069970928132534,0.20447228848934174,,
rnn,53,0.207024697214365,0.20443358272314072,,
rnn,54,0.2071498353034258,0.2044387087225914,,
rnn,55,0.2073796447366476,0.20434491336345673,,
rnn,56,0.2068487722426653,0.20438841730356216,,
rnn,57,0.20709448121488094,0.2044517993927002,,
rnn,58,0.20676431246101856,0.20431359857320786,,
rnn,59,0.20701698027551174,0.20424863696098328,,
rnn,60,0.2071363888680935,0.20422548055648804,,
rnn,61,0.20640790835022926,0.20430273562669754,,
rnn,62,0.20702856965363026,0.20417272299528122,,
rnn,63,0.20633449032902718,0.20421099662780762,,
rnn,64,0.20678886398673058,0.2042020857334137,,
rnn,65,0.20680337958037853,0.20411403477191925,,
rnn,66,0.20680106990039349,0.2040805071592331,,
rnn,67,0.2070667576044798,0.2042127400636673,,
rnn,68,0.20707904361188412,0.20403698086738586,,
rnn,69,0.20657690055668354,0.20402561128139496,,
rnn,70,0.20642698928713799,0.20408228784799576,,
rnn,71,0.20647276937961578,0.20395845919847488,,
rnn,72,0.20694945007562637,0.20401421934366226,,
rnn,73,0.20674236491322517,0.2039140686392784,,
rnn,74,0.2067154236137867,0.20393990725278854,,
rnn,75,0.2070906925946474,0.20391912013292313,,
rnn,76,0.2070725206285715,0.20388560742139816,,
rnn,77,0.20652831718325615,0.2039261758327484,,
rnn,78,0.20672456175088882,0.20397796481847763,,
rnn,79,0.20657574385404587,0.20389565080404282,,
rnn,80,0.20635958947241306,0.2038784623146057,,
rnn,81,0.2066686861217022,0.20393863320350647,,
rnn,82,0.2066391482949257,0.2038099244236946,,
rnn,83,0.2065050955861807,0.20387433469295502,,
rnn,84,0.2067443523555994,0.20387857407331467,,
rnn,85,0.20658913999795914,0.2038361057639122,,
rnn,86,0.20672572031617165,0.20381436496973038,,
rnn,87,0.20694719068706036,0.2037665918469429,,
rnn,88,0.20615545846521854,0.20383383333683014,,
rnn,89,0.20649748668074608,0.20382116734981537,,
rnn,90,0.20656756311655045,0.20379065722227097,,
rnn,91,0.20670615322887897,0.20375214517116547,,
rnn,92,0.20712428726255894,0.20379723608493805,,
rnn,93,0.20625015161931515,0.20386137068271637,,
rnn,94,0.2068611178547144,0.20383767038583755,,
rnn,95,0.2064620517194271,0.20380713045597076,,
rnn,96,0.20638383366167545,0.2037915140390396,,
rnn,97,0.20644835196435452,0.20378579199314117,,
rnn,98,0.2063979972153902,0.20371757447719574,,
rnn,99,0.20623159408569336,0.2037317305803299,,
rnn,100,0.20633565820753574,0.20387182384729385,,
lstm,1,0.3509732373058796,0.3394133895635605,,
lstm,2,0.32595571503043175,0.3307126611471176,,
lstm,3,0.2769709452986717,0.3140619248151779,,
lstm,4,0.2485466655343771,0.3010498434305191,,
lstm,5,0.23784936219453812,0.28767329454421997,,
lstm,6,0.23255993984639645,0.27979978919029236,,
lstm,7,0.2316461093723774,0.27536387741565704,,
lstm,8,0.2277558669447899,0.2779201567173004,,
lstm,9,0.22708082757890224,0.27902285754680634,,
lstm,10,0.2253998126834631,0.282790869474411,,
lstm,11,0.22424957901239395,0.2795591801404953,,
lstm,12,0.22323038056492805,0.28388702869415283,,
lstm,13,0.22208819538354874,0.2823685109615326,,
lstm,14,0.22046064585447311,0.28081800043582916,,
lstm,15,0.21850372850894928,0.2843148410320282,,
lstm,16,0.21802309155464172,0.28550124168395996,,
lstm,17,0.2173061966896057,0.2865111529827118,,
lstm,18,0.21735787764191628,0.28695569932460785,,
lstm,19,0.217123756185174,0.28727398812770844,,
lstm,20,0.21791424043476582,0.28368227183818817,,
lstm,21,0.21721388772130013,0.2858272045850754,,
lstm,22,0.21615518629550934,0.28092600405216217,,
lstm,23,0.21620868518948555,0.2825319766998291,,
lstm,24,0.21758371591567993,0.2797277122735977,,
lstm,25,0.21620243601500988,0.2788636386394501,,
lstm,26,0.21731480956077576,0.27699971199035645,,
lstm,27,0.21562211029231548,0.2774137854576111,,
lstm,28,0.2154446355998516,0.27697719633579254,,
lstm,29,0.21507360972464085,0.2748948037624359,,
lstm,30,0.21437839977443218,0.2749587595462799,,
lstm,31,0.21488725394010544,0.2747223228216171,,
lstm,32,0.21410968340933323,0.27406182885169983,,
lstm,33,0.21440389566123486,0.2728542983531952,,
lstm,34,0.2151415217667818,0.27215830981731415,,
lstm,35,0.21464802883565426,0.27194495499134064,,
lstm,36,0.21518503688275814,0.2726709544658661,,
lstm,37,0.21426793932914734,0.270268976688385,,
lstm,38,0.2141876332461834,0.2714238315820694,,
lstm,39,0.21449808776378632,0.27002671360969543,,
lstm,40,0.21510391309857368,0.2691875100135803,,
lstm,41,0.21462318859994411,0.26791176199913025,,
lstm,42,0.21459994837641716,0.2677687406539917,,
lstm,43,0.21381655149161816,0.26762552559375763,,
lstm,44,0.21260124817490578,0.2658610939979553,,
lstm,45,0.2133020106703043,0.26637932658195496,,
lstm,46,0.21353782713413239,0.2656802833080292,,
lstm,47,0.21317556500434875,0.26435917615890503,,
lstm,48,0.2126471158117056,0.26356661319732666,,
lstm,49,0.213288813829422,0.26430921256542206,,
lstm,50,0.21286410093307495,0.2632426470518112,,
lstm,51,0.2138848751783371,0.26184533536434174,,
lstm,52,0.21246259659528732,0.26209284365177155,,
lstm,53,0.21312733180820942,0.2613621950149536,,
lstm,54,0.21223004534840584,0.2612369656562805,,
lstm,55,0.21283108554780483,0.26084885001182556,,
lstm,56,0.21229838579893112,0.2601884454488754,,
lstm,57,0.21254497952759266,0.26005299389362335,,
lstm,58,0.21285285614430904,0.2596401125192642,,
lstm,59,0.21226207166910172,0.2588368356227875,,
lstm,60,0.21152281016111374,0.2582971304655075,,
lstm,61,0.21206493116915226,0.25888027250766754,,
lstm,62,0.2115554790943861,0.2581196576356888,,
lstm,63,0.21212096698582172,0.25803661346435547,,
lstm,64,0.21299460157752037,0.2577681988477707,,
lstm,65,0.21228119172155857,0.2578438073396683,,
lstm,66,0.21248462423682213,0.2559962868690491,,
lstm,67,0.21164661273360252,0.25511452555656433,,
lstm,68,0.21242301724851131,0.2553629130125046,,
lstm,69,0.21161631681025028,0.2547418922185898,,
lstm,70,0.2118214126676321,0.25461891293525696,,
lstm,71,0.21185984276235104,0.25389881432056427,,
lstm,72,0.21050618216395378,0.25415651500225067,,
lstm,73,0.2109815888106823,0.25401997566223145,,
lstm,74,0.21135259419679642,0.25369322299957275,,
lstm,75,0.21163908019661903,0.2542659193277359,,
lstm,76,0.2122385147958994,0.2531132847070694,,
lstm,77,0.21089178696274757,0.2533024847507477,,
lstm,78,0.21172822825610638,0.25187335163354874,,
lstm,79,0.21193648502230644,0.2526642084121704,,
lstm,80,0.21196678839623928,0.25163162499666214,,
lstm,81,0.2116130143404007,0.2519947290420532,,
lstm,82,0.2119371686130762,0.251291960477829,,
lstm,83,0.21156559698283672,0.25105763226747513,,
lstm,84,0.21177307702600956,0.2511431947350502,,
lstm,85,0.21212268620729446,0.250811904668808,,
lstm,86,0.2112709116190672,0.2506420910358429,,
lstm,87,0.21303046308457851,0.24990709871053696,,
lstm,88,0.21051299944519997,0.2498820573091507,,
lstm,89,0.2108941376209259,0.2493787705898285,,
lstm,90,0.21100920997560024,0.24937599897384644,,
lstm,91,0.2112862914800644,0.24875034391880035,,
lstm,92,0.21187900565564632,0.2490348443388939,,
lstm,93,0.21135984361171722,0.24837370216846466,,
lstm,94,0.21178179420530796,0.24885013699531555,,
lstm,95,0.21102048456668854,0.24807583540678024,,
lstm,96,0.2113933265209198,0.2487839013338089,,
lstm,97,0.21103866584599018,0.2482423484325409,,
lstm,98,0.2110871523618698,0.2483944669365883,,
lstm,99,0.21143073588609695,0.2482604682445526,,
lstm,100,0.21069758385419846,0.24826407432556152,,
gan,1,,,0.46372127532958984,0.6788043454289436
gan,2,,,0.4326559975743294,0.6790472567081451
gan,3,,,0.41275618970394135,0.6857952103018761
gan,4,,,0.40107614919543266,0.6912609115242958
gan,5,,,0.3960833288729191,0.6949288994073868
gan,6,,,0.3959030956029892,0.6983629167079926
gan,7,,,0.3971932642161846,0.7000362947583199
gan,8,,,0.40016666427254677,0.699349083006382
gan,9,,,0.40463193878531456,0.7007840201258659
gan,10,,,0.4073595330119133,0.698110431432724
gan,11,,,0.4104536771774292,0.6976487189531326
gan,12,,,0.4134780876338482,0.6943658143281937
gan,13,,,0.414165236055851,0.6942982822656631
gan,14,,,0.4152378886938095,0.6907287016510963
gan,15,,,0.41509900614619255,0.6915958970785141
gan,16,,,0.41671182960271835,0.6901687383651733
gan,17,,,0.41630882769823074,0.6906769648194313
gan,18,,,0.41665542498230934,0.6888237297534943
gan,19,,,0.4168327786028385,0.6891423240303993
gan,20,,,0.4164048284292221,0.6862442344427109
gan,21,,,0.4157376065850258,0.6865773499011993
gan,22,,,0.41497548297047615,0.6864346042275429
gan,23,,,0.41573137417435646,0.6864343881607056
gan,24,,,0.41651181504130363,0.6853036358952522
gan,25,,,0.41583938151597977,0.6849707290530205
gan,26,,,0.41650233790278435,0.6830673739314079
gan,27,,,0.416094783693552,0.6826031282544136
gan,28,,,0.41728903725743294,0.6827924326062202
gan,29,,,0.41769421100616455,0.6802562922239304
gan,30,,,0.41714083030819893,0.6812634468078613
gan,31,,,0.416883859783411,0.6794188395142555
gan,32,,,0.41605986654758453,0.6782269850373268
gan,33,,,0.41742976754903793,0.6777330487966537
gan,34,,,0.4182671010494232,0.6756302714347839
gan,35,,,0.4184585250914097,0.673599511384964
gan,36,,,0.4195500612258911,0.6749254986643791
gan,37,,,0.41894207149744034,0.6733262464404106
gan,38,,,0.4200015626847744,0.6713832244277
gan,39,,,0.41882606595754623,0.6706856787204742
gan,40,,,0.41889407485723495,0.6688460856676102
gan,41,,,0.4200403168797493,0.6645288914442062
gan,42,,,0.4194484353065491,0.6632305011153221
gan,43,,,0.42124832049012184,0.6602745577692986
gan,44,,,0.42223456874489784,0.6562067791819572
gan,45,,,0.421822015196085,0.6568190008401871
gan,46,,,0.4232828877866268,0.6544247567653656
gan,47,,,0.4225659407675266,0.6518309712409973
gan,48,,,0.4243132323026657,0.6489057615399361
gan,49,,,0.42596977949142456,0.645132951438427
gan,50,,,0.42594898864626884,0.6418493613600731
gan,51,,,0.4266640804708004,0.6393383666872978
gan,52,,,0.42666905745863914,0.6347306817770004
gan,53,,,0.4291624054312706,0.632066436111927
gan,54,,,0.4278326854109764,0.6279093995690346
gan,55,,,0.43043436482548714,0.6252787187695503
gan,56,,,0.4320572279393673,0.6266622170805931
gan,57,,,0.4380492754280567,0.6196810677647591
gan,58,,,0.4399486593902111,0.6165357977151871
gan,59,,,0.44352471828460693,0.61763696372509
gan,60,,,0.44342290237545967,0.612507052719593
gan,61,,,0.4407461956143379,0.6073092073202133
gan,62,,,0.44092754274606705,0.6067593693733215
gan,63,,,0.44356410577893257,0.603264756500721
gan,64,,,0.44915708154439926,0.5951861143112183
gan,65,,,0.450510211288929,0.592006079852581
gan,66,,,0.4516826197504997,0.5997059345245361
gan,67,,,0.4526899755001068,0.591829240322113
gan,68,,,0.450813177973032,0.5940731540322304
gan,69,,,0.46496088057756424,0.5892561674118042
gan,70,,,0.47575923427939415,0.5734673514962196
gan,71,,,0.4736498184502125,0.5642153844237328
gan,72,,,0.46063296124339104,0.587805725634098
gan,73,,,0.46020161360502243,0.6146659255027771
gan,74,,,0.4625493846833706,0.5701634287834167
gan,75,,,0.46009034663438797,0.5776305496692657
gan,76,,,0.4757297933101654,0.5881324410438538
gan,77,,,0.48906438425183296,0.5592234209179878
gan,78,,,0.4910934157669544,0.548661895096302
gan,79,,,0.4916563257575035,0.5562059730291367
gan,80,,,0.48380184173583984,0.5600286647677422
gan,81,,,0.4806829132139683,0.571670725941658
gan,82,,,0.4785640388727188,0.5681242197751999
gan,83,,,0.48523714765906334,0.5336083397269249
gan,84,,,0.4815447963774204,0.527826301753521
gan,85,,,0.4633457884192467,0.568709097802639
gan,86,,,0.48398834094405174,0.6019262671470642
gan,87,,,0.5195300169289112,0.5623286291956902
gan,88,,,0.5438381209969521,0.5357587710022926
gan,89,,,0.5408559739589691,0.52310810983181
gan,90,,,0.5256478488445282,0.5120760574936867
gan,91,,,0.49715445190668106,0.5166280269622803
gan,92,,,0.47627077251672745,0.59455756098032
gan,93,,,0.4939090758562088,0.590065635740757
gan,94,,,0.5039860978722572,0.520271010696888
gan,95,,,0.508730910718441,0.49209049716591835
gan,96,,,0.48366760835051537,0.5321244411170483
gan,97,,,0.4797207899391651,0.6076474636793137
gan,98,,,0.5222774222493172,0.5851221159100533
gan,99,,,0.5621681660413742,0.5445457771420479
gan,100,,,0.5842029452323914,0.5241841822862625
